cpi = [
2.325282,2.696614,2.334887,2.619678,1.392190,0.631348,2.144573,2.097855,2.015603,1.409936,1.980324,2.351709,
2.146809,5.512685,0.508952,0.535891,0.500000,2.795663,3.221070,2.768875,0.692256,1.461671,0.850599,3.005530,
2.238922,1.878706,1.230399,2.624082,1.537860,2.490031,2.488126,1.341521,1.207661,2.560045,2.630351,1.772295,
2.661581,1.903492,1.202222,0.500000,2.966897,2.765809,1.983807,1.594115,2.211381,1.708300,2.138796,2.363601,
2.190008,0.500000,4.039730,1.233688,3.325509,0.711065,3.246433,1.178097,4.526443,1.215753,0.964015,0.869259,
0.938447,3.922001,0.843693,1.072559,1.254757,3.968543,1.395028,3.568973,0.500000,2.387857,2.902784,1.245359,
2.934619,0.896481,1.068070,2.458556,1.872075,2.770198,1.696278,2.783838,1.124462,0.500000,4.435304,1.460117,
2.387020,1.725110,2.412884,0.580633,2.607672,2.286681,3.584827,1.620440,2.457950,1.451603,1.254836,1.630344,
0.911030,2.637150,3.191855,2.243915,1.062097,1.953952,1.323267,1.661251,1.743985,2.483133,2.380407,2.407957,
2.419297,1.976477,3.898311,1.456766,1.436262,0.812887,1.069231,2.691084,2.690006,2.407382,0.500000,2.642297,
2.420724,2.270204,2.332690,1.113170,2.142658,1.720554,1.818109,2.321736,0.500000,1.620556,3.110179,2.629420,
0.707084,5.291542,0.500000,1.501404,0.779448,3.220522,0.500000,1.399234,2.290962,2.960281,0.653012,4.196511];
